date,article_id,source
1995-05-23 07:14:19,cmp-lg/9505038v1,arXiv
2001-04-11 21:44:59,hep-th/0104111v1,arXiv
2003-11-29 14:08:56,cs/0312001v3,arXiv
2005-12-08 01:20:24,physics/0512066v2,arXiv
2005-12-27 05:59:07,physics/0512247v1,arXiv
2006-12-22 19:19:41,cs/0612126v1,arXiv
2007-07-13 15:34:22,0707.2042v1,arXiv
2007-07-24 14:23:37,0707.3560v1,arXiv
2007-07-24 14:28:01,0707.3563v1,arXiv
2007-08-14 08:17:45,0708.1818v1,arXiv
2008-01-02 05:04:27,0801.0337v2,arXiv
2008-04-24 10:13:53,0804.3882v1,arXiv
2009-02-12 18:25:13,0902.2187v1,arXiv
2009-03-25 12:16:29,0903.4314v1,arXiv
2009-04-14 11:21:47,0904.2096v1,arXiv
2009-04-23 07:56:11,0904.3612v1,arXiv
2009-10-30 03:08:32,0910.5776v1,arXiv
2009-11-02 02:06:49,0911.0226v1,arXiv
2010-03-03 03:31:29,1003.0723v2,arXiv
2010-05-25 13:16:29,1005.4564v1,arXiv
2011-03-10 16:00:52,1103.2063v1,arXiv
2011-04-05 09:16:34,1104.0780v1,arXiv
2011-04-06 20:40:38,1104.1191v1,arXiv
2011-06-28 05:57:37,1106.5569v1,arXiv
2011-06-28 06:08:38,1106.5571v1,arXiv
2011-07-27 05:30:40,1107.5387v1,arXiv
2011-10-13 03:13:54,1110.3307v1,arXiv
2011-11-07 16:12:31,1111.1628v1,arXiv
2011-11-13 07:13:23,1111.2993v1,arXiv
2012-06-18 16:05:47,1206.3975v1,arXiv
2012-07-11 11:17:28,1207.2597v1,arXiv
2012-07-18 08:02:33,1207.4291v1,arXiv
2012-08-30 00:58:22,1208.6057v1,arXiv
2012-09-27 07:15:22,1209.6140v1,arXiv
2012-11-11 12:36:36,1211.2412v1,arXiv
2013-01-19 07:01:46,1301.4535v1,arXiv
2013-02-08 13:11:39,1302.2024v1,arXiv
2013-05-11 12:32:04,1305.2500v1,arXiv
2013-05-23 20:00:00,1305.5534v1,arXiv
2013-08-27 12:44:54,1308.5843v1,arXiv
2013-09-17 18:13:01,1309.4413v2,arXiv
2013-11-04 18:29:54,1311.0806v1,arXiv
2013-11-26 14:00:24,1311.6670v1,arXiv
2013-12-16 11:33:06,1312.4322v1,arXiv
2013-12-23 09:43:09,1312.6497v1,arXiv
2014-01-16 20:42:32,1401.4158v1,arXiv
2014-01-30 05:33:27,1401.7743v1,arXiv
2014-02-17 09:46:16,1402.3942v1,arXiv
2014-05-05 14:28:13,1405.0910v1,arXiv
2014-05-19 19:10:15,1405.4843v1,arXiv
2014-06-04 00:14:06,1406.0912v3,arXiv
2014-06-12 04:46:32,1406.3117v1,arXiv
2014-06-19 18:57:03,1406.5151v1,arXiv
2014-07-10 14:36:10,1407.2807v1,arXiv
2014-07-27 13:21:10,1407.7223v1,arXiv
2014-08-06 03:16:21,1408.1173v1,arXiv
2014-10-28 15:46:44,1410.7670v1,arXiv
2014-11-10 06:15:42,1411.2335v1,arXiv
2014-11-19 07:52:04,1411.5137v1,arXiv
2014-12-15 15:31:05,1412.4638v1,arXiv
2014-12-26 19:31:52,1412.7975v1,arXiv
2015-02-12 16:36:55,1502.03723v1,arXiv
2015-02-26 14:23:39,1502.07939v1,arXiv
2015-03-23 21:57:46,1503.06854v2,arXiv
2015-03-24 09:28:28,1503.06959v1,arXiv
2015-04-03 10:44:23,1504.00802v1,arXiv
2015-04-09 15:52:59,1504.02358v1,arXiv
2015-04-23 22:55:08,1504.06359v5,arXiv
2015-05-05 15:57:36,1505.01056v2,arXiv
2015-05-06 10:56:12,1505.01319v3,arXiv
2015-06-19 03:11:33,1506.05870v1,arXiv
2015-06-24 16:26:37,1601.06825v1,arXiv
2015-06-27 17:33:34,1506.08316v2,arXiv
2015-06-29 17:50:20,1506.08754v2,arXiv
2015-08-09 14:14:33,1508.02024v1,arXiv
2015-08-11 14:17:28,1508.02606v1,arXiv
2015-08-12 15:43:16,1508.02959v1,arXiv
2015-08-18 08:18:55,1508.04238v1,arXiv
2015-08-22 08:15:04,1508.05477v1,arXiv
