,date,article_id,source
0,2015-11-09T22:29:13Z,1511.02916v1,arXiv
1,2015-11-09T22:30:19Z,1511.02917v2,arXiv
2,2015-11-10T05:19:00Z,1511.02995v3,arXiv
3,2015-11-10T08:13:49Z,1511.03012v1,arXiv
4,2015-11-10T20:07:05Z,1511.03246v2,arXiv
5,2015-11-10T21:14:51Z,1511.03292v1,arXiv
6,2015-11-11T02:27:23Z,1511.03361v1,arXiv
7,2015-11-11T15:26:08Z,1511.03532v2,arXiv
8,2015-11-11T21:30:10Z,1511.03690v1,arXiv
9,2015-11-11T22:59:51Z,1511.03722v3,arXiv
10,2015-11-12T01:31:38Z,1511.03749v1,arXiv
11,2015-11-12T08:47:38Z,1511.03816v6,arXiv
12,2015-11-12T13:49:06Z,1511.03897v1,arXiv
13,2015-11-12T16:39:21Z,1511.03958v1,arXiv
14,2015-11-12T20:04:31Z,1511.04326v1,arXiv
15,2015-11-13T01:59:35Z,1511.04137v2,arXiv
16,2015-11-13T02:34:33Z,1511.04143v4,arXiv
17,2015-11-13T07:00:12Z,1511.04190v1,arXiv
18,2015-11-13T15:33:02Z,1511.04317v2,arXiv
19,2015-11-13T15:35:22Z,1511.04320v1,arXiv
20,2015-11-13T16:40:47Z,1511.04352v2,arXiv
21,2015-11-13T18:17:32Z,1511.04387v2,arXiv
22,2015-11-13T18:59:36Z,1511.04401v5,arXiv
23,2015-11-13T19:56:15Z,1511.04412v2,arXiv
24,2015-11-14T12:45:37Z,1511.04555v1,arXiv
25,2015-11-14T23:30:39Z,1511.04636v5,arXiv
26,2015-11-15T02:59:22Z,1511.04646v2,arXiv
27,2015-11-16T01:40:15Z,1511.04798v2,arXiv
28,2015-11-16T10:42:08Z,1511.04906v3,arXiv
29,2015-11-16T19:43:19Z,1511.05101v1,arXiv
30,2015-11-16T21:08:22Z,1511.05175v6,arXiv
31,2015-11-17T01:00:04Z,1511.05234v2,arXiv
32,2015-11-17T03:14:46Z,1511.05263v4,arXiv
33,2015-11-17T13:08:10Z,1511.05385v1,arXiv
34,2015-11-17T17:50:23Z,1511.05488v1,arXiv
35,2015-11-17T18:10:12Z,1511.05493v4,arXiv
36,2015-11-17T18:58:20Z,1511.05506v1,arXiv
37,2015-11-17T20:53:26Z,1511.05547v2,arXiv
38,2015-11-18T02:31:16Z,1511.05643v1,arXiv
39,2015-11-18T05:50:14Z,1511.05662v1,arXiv
40,2015-11-18T10:13:43Z,1511.05719v1,arXiv
41,2015-11-18T12:05:34Z,1511.05749v1,arXiv
42,2015-11-18T15:33:57Z,1511.05835v4,arXiv
43,2015-11-18T15:39:18Z,1511.05837v1,arXiv
44,2015-11-18T18:06:24Z,1511.05897v3,arXiv
45,2015-11-18T19:03:41Z,1511.05911v2,arXiv
46,2015-11-18T20:48:18Z,1511.05943v1,arXiv
47,2015-11-19T00:16:17Z,1511.06030v2,arXiv
48,2015-11-19T03:54:15Z,1511.06052v4,arXiv
49,2015-11-19T10:36:52Z,1611.01083v1,arXiv
50,2015-11-19T11:38:42Z,1702.04241v1,arXiv
51,2015-11-19T14:59:06Z,1511.06191v1,arXiv
52,2015-11-19T20:14:43Z,1511.06341v4,arXiv
53,2015-11-19T21:10:17Z,1511.06380v2,arXiv
54,2015-11-19T21:59:58Z,1511.06410v3,arXiv
55,2015-11-19T22:58:10Z,1511.06438v1,arXiv
56,2015-11-19T23:14:25Z,1511.06444v3,arXiv
57,2015-11-20T13:19:44Z,1511.06586v1,arXiv
58,2015-11-20T15:24:22Z,1512.04467v1,arXiv
59,2015-11-20T16:50:05Z,1512.02140v1,arXiv
60,2015-11-20T19:19:00Z,1511.06728v4,arXiv
61,2015-11-20T22:37:19Z,1511.06787v1,arXiv
62,2015-11-21T14:57:48Z,1511.06890v1,arXiv
63,2015-11-21T15:08:53Z,1511.06891v2,arXiv
64,2015-11-22T11:28:26Z,1511.06995v1,arXiv
65,2015-11-23T13:04:47Z,1511.07209v2,arXiv
66,2015-11-23T13:19:05Z,1511.07211v2,arXiv
67,2015-11-23T15:31:54Z,1511.07275v2,arXiv
68,2015-11-23T18:52:21Z,1511.07361v1,arXiv
69,2015-11-23T19:24:17Z,1511.07373v1,arXiv
70,2015-11-23T20:23:53Z,1511.07401v2,arXiv
71,2015-11-23T22:49:08Z,1511.07500v1,arXiv
72,2015-11-24T05:05:34Z,1511.07569v3,arXiv
73,2015-11-24T11:52:28Z,1511.07663v3,arXiv
74,2015-11-24T14:05:28Z,1511.07710v1,arXiv
75,2015-11-24T14:13:33Z,1511.07714v1,arXiv
76,2015-11-24T21:01:01Z,1511.07883v1,arXiv
77,2015-11-25T06:26:33Z,1511.08205v2,arXiv
78,2015-11-25T07:06:09Z,1511.07972v9,arXiv
79,2015-11-25T15:48:59Z,1511.08099v1,arXiv
80,2015-11-25T17:32:18Z,1511.08130v2,arXiv
81,2015-11-25T17:49:55Z,1511.08136v5,arXiv
