Date,"Artificial intelligence","Machine learning"
2015-07-01,5055,3104
2015-07-02,5083,2617
2015-07-03,4252,2074
2015-07-04,4250,1523
2015-07-05,4328,1665
2015-07-06,4944,2930
2015-07-07,4813,3133
2015-07-08,4731,2868
2015-07-09,4765,2987
2015-07-10,4181,2550
2015-07-11,3632,1686
2015-07-12,3818,1830
2015-07-13,5113,2999
2015-07-14,9890,3138
2015-07-15,5262,3144
2015-07-16,4417,2653
2015-07-17,4311,2433
2015-07-18,3904,1465
2015-07-19,4260,1691
2015-07-20,5138,2991
2015-07-21,5196,2964
2015-07-22,5500,2819
2015-07-23,4905,2743
2015-07-24,4265,2516
2015-07-25,3720,1703
2015-07-26,4299,1899
2015-07-27,5581,2914
2015-07-28,6422,3124
2015-07-29,5805,3149
2015-07-30,5079,2977
2015-07-31,5116,2697
2015-08-01,3973,1667
2015-08-02,4461,1750
2015-08-03,5017,2570
2015-08-04,4842,2893
2015-08-05,4974,2970
2015-08-06,5283,2746
2015-08-07,4487,2486
2015-08-08,3884,1750
2015-08-09,5019,1750
2015-08-10,5296,2575
2015-08-11,5443,3398
2015-08-12,5177,3311
2015-08-13,5068,3115
2015-08-14,4383,2678
2015-08-15,4026,1701
2015-08-16,4463,1989
2015-08-17,5145,2978
2015-08-18,4966,3111
2015-08-19,5320,3138
2015-08-20,5085,2909
2015-08-21,5160,2668
2015-08-22,4422,1690
2015-08-23,4758,1922
2015-08-24,5316,2912
2015-08-25,5333,3119
2015-08-26,5305,2941
2015-08-27,5302,2910
2015-08-28,5023,2682
2015-08-29,4229,1577
2015-08-30,4634,1887
2015-08-31,5250,3066
2015-09-01,5669,3244
2015-09-02,5677,3513
2015-09-03,5763,3200
2015-09-04,5009,2769
2015-09-05,4735,1687
2015-09-06,4995,1949
2015-09-07,6321,2817
2015-09-08,6826,3404
2015-09-09,6226,3618
2015-09-10,6507,3388
2015-09-11,5871,2854
2015-09-12,5078,1954
2015-09-13,5809,2058
2015-09-14,7205,3405
2015-09-15,7262,3559
2015-09-16,7048,3124
2015-09-17,6580,3209
2015-09-18,6087,2874
2015-09-19,5729,1847
2015-09-20,5721,2104
2015-09-21,6426,3320
2015-09-22,6956,3248
2015-09-23,6207,3090
2015-09-24,5935,2984
2015-09-25,6066,2744
2015-09-26,4935,1961
2015-09-27,5324,2023
2015-09-28,6785,3182
2015-09-29,7024,3328
2015-09-30,6656,3417
2015-10-01,5013,2982
2015-10-02,4472,2795
2015-10-03,3884,2019
2015-10-04,4581,2045
2015-10-05,5224,3233
2015-10-06,5818,3615
2015-10-07,5618,3563
2015-10-08,5392,3545
2015-10-09,4942,3450
2015-10-10,4157,2278
2015-10-11,4828,2176
2015-10-12,5807,3532
2015-10-13,5592,3476
2015-10-14,5599,3492
2015-10-15,5506,3432
2015-10-16,4731,3272
2015-10-17,3921,2163
2015-10-18,4565,2325
2015-10-19,5528,3555
2015-10-20,5385,3603
2015-10-21,5091,3244
2015-10-22,4653,3033
2015-10-23,4666,3161
2015-10-24,3545,2098
2015-10-25,4238,2269
2015-10-26,4964,3432
2015-10-27,5148,3595
2015-10-28,5259,3863
2015-10-29,4943,3618
2015-10-30,4472,3055
2015-10-31,3735,2006
2015-11-01,4419,2271
2015-11-02,5456,3341
2015-11-03,5333,3591
2015-11-04,5285,3662
2015-11-05,5190,3443
2015-11-06,4730,3308
2015-11-07,4007,2116
2015-11-08,4688,2324
